accident_year,calendar_year,rbns_pred,rbns_true,ibnr_pred,ibnr_true,total_pred,total_true,total_error,total_error_pct,cl_rbns_only,cl_vs_total_true_error_pct
1,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2001,22898.6686625263,152855.0,0.0,0.0,22898.6686625263,152855.0,-129956.3313374737,-85.01935254814936,36524.33274376392,-76.10524173644046
3,2002,318531.1888067593,1719594.68,0.0,0.0,318531.1888067593,1719594.68,-1401063.4911932405,-81.47637972415922,419077.1827687919,-75.62930453071698
4,2003,1004382.9484569728,11613474.48,0.0,0.0,1004382.9484569728,11613474.48,-10609091.531543028,-91.35157226042338,1557474.7091891766,-86.58907192785964
5,2004,2808756.2522579306,4548052.58,0.0,0.0,2808756.2522579306,4548052.58,-1739296.3277420695,-38.24266094439193,11249324.016331524,147.34375468305433
6,2005,7714136.256247286,34419803.49,0.0,0.0,7714136.256247286,34419803.49,-26705667.233752716,-77.58808745526838,27656631.87083319,-19.649070980697843
7,2006,10748239.44988843,38866491.73,242934.22784804218,116238.0,10991173.677736472,38982729.73,-27991556.052263524,-71.80501787878138,48152313.495367765,23.52216950654207
8,2007,37345856.88464357,101909266.23,1038033.4704906434,1604076.26,38383890.35513421,103513342.49000001,-65129452.1348658,-62.91889583331509,89265261.57948095,-13.764487328670224
9,2008,77189576.94009155,74046080.11,4571682.237846912,13408944.07,81761259.17793846,87455024.18,-5693765.002061546,-6.510506463691135,160514387.5621701,83.53935530541874
10,2009,240138370.7116271,95843533.76,40915085.69052898,60809158.230000004,281053456.40215605,156652691.99,124400764.41215605,79.4118267818195,336168874.5624497,114.59501926970344
